R	Count	Relative Costs	Set Diff	p(find|wild)	P_0(catch)	Bits	Calculated P	Error	P_1(catch)	T(s)	T(min)	T(hr)	T(d)
1	52	0.001000 €	4	22.31302%	0.021790055%	15	0.0995066564%	0.0777166017%	0.0000971745%	124	2	0	0
2	14	0.001207 €	20	4.97871%	0.004862018%	13	0.0141001335%	0.0092381151%	0.0000137697%	876	15	0	0
3	8	0.003090 €	90	1.11090%	0.001084863%	12	0.0045825434%	0.0034976804%	0.0000044751%	2696	45	1	0
4	12	0.020773 €	403	0.24788%	0.000242066%	11	0.0013412322%	0.0010991666%	0.0000013098%	9211	154	3	0
5	10	0.077582 €	1808	0.05531%	0.000054012%	10	0.0003512751%	0.0002972630%	0.0000003430%	35169	586	10	0
6	3	0.104310 €	8103	0.01234%	0.000012052%	9	0.0000816919%	0.0000696401%	0.0000000798%	151225	2520	42	2
7	4	0.623314 €	36316	0.00275%	0.000002689%	8	0.0000167097%	0.0000140206%	0.0000000163%	739321	12322	205	9
8	10	6.983751 €	162755	0.00061%	0.000000600%	8	0.0000167097%	0.0000161097%	0.0000000163%	739321	12322	205	9
9	7	21.909299 €	729416	0.00014%	0.000000134%	7	0.0000029706%	0.0000028367%	0.0000000029%	4158681	69311	1155	48
10	31	434.844374 €	3269017	0.00003%	0.000000030%	6	0.0000004520%	0.0000004222%	0.0000000004%	27328474	455475	7591	316
